ID,brandID,catID,name,price,features
1,1,1,Adam T7V,204.83,"[""7\"" 50W Woofer"",""1.9\"" 20W Tweeter""]"
2,1,1,Adam T10s,407.53,"[""10\"" 130W Subwoofer""]"
3,2,1,Yamaha HS7,261,"[""7.5\"" 50W Woofer"",""1\"" Tweeter""]"
4,2,1,Yamaha HS8S,595,"[""8\"" 150W Subwoofer""]"
5,3,2,Behringer HPS5000,12.3,"[""Široki frekvencijski i dinamički raspon""]"
6,3,2,Behringer HPS3000,10.28,"[""3.5mm priključak plus 6.3mm adapter""]"
7,2,2,Yamaha HPH-MT5W,104.92,"[""full-range 40mm neodimium dinamički driveri""]"
8,2,2,Yamaha HPH-MT7,225.25,"[""CCAW zvučnici"",""1/4\"" adapter""]"
9,4,2,Beyerdynamic DT 900 PRO X,246.54,"[""Otvoreni cirkumauralni dizajn"",""odvojivi kabel"",""STELLAR45 dirveri""]"
10,4,2,Beyerdynamic DT 990 PRO 80 Ohm,168.22,"[""Otvoreni cirkumauralni dizajn"",""otpor od 80 Ohma"",""zaštitna torba""]"
11,3,3,Behringer BU-200,102.89,"[""kondenzatorski mikrofon"",""niski šum""]"
12,5,3,Shure SM58S,130.06,"[""dinamički mikrofon"",""ugrađeni prekidač"",""lulica"",""kožna torbica""]"
13,3,3,Behringer BA 85A,20.87,"[""dinamički mikrofon"",""transparentni zvuk"",""jaki izlazni signal""]"
